id_decision,fecha,responsable,turno,tipo_decision,decision_informada
D060,2025-01-25,R02,Noche,Rutinaria,1
D061,2025-01-25,R08,Mañana,Urgente,0
D062,2025-01-26,R05,Tarde,Rutinaria,1
D063,2025-01-27,R06,Noche,Planificada,1
D064,2025-01-27,R01,Mañana,Urgente,1
D065,2025-01-27,R07,Tarde,Rutinaria,1
D066,2025-01-28,R03,Noche,Urgente,0
D067,2025-01-28,R04,Mañana,Planificada,1
D068,2025-01-28,R02,Tarde,Rutinaria,1
D069,2025-01-29,R08,Noche,Urgente,1
D070,2025-01-29,R05,Mañana,Planificada,1
D071,2025-01-29,R06,Tarde,Rutinaria,1
D072,2025-01-30,R01,Noche,Urgente,0
D073,2025-01-30,R07,Mañana,Planificada,1
D074,2025-01-30,R03,Tarde,Rutinaria,1
D075,2025-01-31,R04,Noche,Urgente,1
D076,2025-01-31,R02,Mañana,Rutinaria,1
D077,2025-01-31,R08,Tarde,Planificada,1
D078,2025-02-01,R05,Noche,Urgente,0
D079,2025-02-01,R06,Mañana,Rutinaria,1
D080,2025-02-01,R01,Tarde,Planificada,1
D081,2025-02-02,R07,Noche,Rutinaria,1
D082,2025-02-02,R03,Mañana,Urgente,1
D083,2025-02-02,R04,Tarde,Planificada,1
D084,2025-02-03,R02,Noche,Rutinaria,1
D085,2025-02-03,R08,Mañana,Urgente,0
D086,2025-02-03,R05,Tarde,Planificada,1
D087,2025-02-04,R06,Noche,Rutinaria,1
D088,2025-02-04,R01,Mañana,Urgente,1
D089,2025-02-04,R07,Tarde,Rutinaria,1
D090,2025-02-04,R03,Noche,Planificada,1
D091,2025-02-05,R04,Mañana,Rutinaria,1
D092,2025-02-05,R02,Tarde,Urgente,0
D093,2025-02-05,R08,Noche,Planificada,1
D094,2025-02-06,R05,Mañana,Rutinaria,1
D095,2025-02-06,R06,Tarde,Urgente,1
D096,2025-02-06,R01,Noche,Planificada,1
D097,2025-02-07,R07,Mañana,Rutinaria,1
D098,2025-02-07,R03,Tarde,Urgente,0
D099,2025-02-07,R04,Noche,Rutinaria,1
D100,2025-02-08,R02,Mañana,Planificada,1
D101,2025-02-08,R08,Tarde,Rutinaria,1
D102,2025-02-08,R05,Noche,Urgente,1
D103,2025-02-09,R06,Mañana,Planificada,1
D104,2025-02-09,R01,Tarde,Rutinaria,1
D105,2025-02-09,R07,Noche,Urgente,0
D106,2025-02-10,R03,Mañana,Planificada,1
D107,2025-02-10,R04,Tarde,Rutinaria,1
D108,2025-02-10,R02,Noche,Urgente,1
D109,2025-02-11,R08,Mañana,Rutinaria,1
D110,2025-02-11,R05,Tarde,Planificada,1
D111,2025-02-11,R06,Noche,Urgente,0
D112,2025-02-12,R01,Mañana,Rutinaria,1
D113,2025-02-12,R07,Tarde,Planificada,1
D114,2025-02-12,R03,Noche,Urgente,1
D115,2025-02-13,R04,Mañana,Rutinaria,1
D116,2025-02-13,R02,Tarde,Planificada,1
D117,2025-02-13,R08,Noche,Urgente,0
D118,2025-02-14,R05,Mañana,Rutinaria,1
D119,2025-02-14,R06,Tarde,Planificada,1
D120,2025-02-14,R01,Noche,Urgente,1
D121,2025-02-15,R07,Mañana,Rutinaria,1
D122,2025-02-15,R03,Tarde,Planificada,1
D123,2025-02-15,R04,Noche,Urgente,0
D124,2025-02-16,R02,Mañana,Rutinaria,1
D125,2025-02-16,R08,Tarde,Planificada,1
D126,2025-02-16,R05,Noche,Urgente,1
D127,2025-02-17,R06,Mañana,Rutinaria,1
D128,2025-02-17,R01,Tarde,Planificada,1
D129,2025-02-17,R07,Noche,Urgente,0
D130,2025-02-18,R03,Mañana,Rutinaria,1
D131,2025-02-18,R04,Tarde,Planificada,1
D132,2025-02-18,R02,Noche,Urgente,1
